city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,timezone,ranking
New York City,New York,NY,New York,36061,New York,40.6943,-73.9249,18713220,10715,America/New_York,1
Los Angeles,Los Angeles,CA,California,6037,Los Angeles,34.1139,-118.4068,12750807,3276,America/Los_Angeles,1
Chicago,Chicago,IL,Illinois,17031,Cook,41.8373,-87.6862,8604203,4574,America/Chicago,1
Houston,Houston,TX,Texas,48201,Harris,29.7863,-95.3889,5464251,1399,America/Chicago,1
San Francisco,San Francisco,CA,California,6075,San Francisco,37.7562,-122.443,3592294,7256,America/Los_Angeles,1
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5649300,4554,America/New_York,1
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1588961,935,America/Indiana/Indianapolis,1
Portland,Portland,OR,Oregon,41051,Multnomah,45.5372,-122.65,2074775,1894,America/Los_Angeles,1
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9673,1365787,2369,America/Chicago,1
Honolulu,Honolulu,HI,Hawaii,15003,Honolulu,21.3294,-157.846,820987,2200,Pacific/Honolulu,2
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5667,-121.4683,1898019,2029,America/Los_Angeles,1
Dallas,Dallas,TX,Texas,48113,Dallas,32.7936,-96.7662,5743938,1526,America/Chicago,1
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0891,4219697,1253,America/Phoenix,1
Austin,Austin,TX,Texas,48453,Travis,30.3004,-97.7522,1687311,1181,America/Chicago,1
San Diego,San Diego,CA,California,6073,San Diego,32.8312,-117.1225,3220118,1686,America/Los_Angeles,1
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1239,-94.5541,1636715,607,America/Chicago,1
Long Beach,Long Beach,CA,California,6037,Los Angeles,33.7981,-118.1675,462628,3523,America/Los_Angeles,2
Anaheim,Anaheim,CA,California,6059,Orange,33.839,-117.8572,350365,2688,America/Los_Angeles,2
Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1046,-89.9773,1066967,792,America/Chicago,1
Denver,Denver,CO,Colorado,8031,Denver,39.7621,-104.8759,2876625,1831,America/Denver,1
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3506126,1864,America/Detroit,1
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244,3789215,3469,America/Los_Angeles,1
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.208,-80.8304,1512923,1113,America/New_York,1
Tulsa,Tulsa,OK,Oklahoma,40143,Tulsa,36.1284,-95.9042,671033,784,America/Chicago,2
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7843,1081903,544,America/Chicago,1
Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,703952,2220,America/New_York,2
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0846,4688346,5532,America/New_York,1
Newark,Newark,NJ,New Jersey,34013,Essex,40.7245,-74.1725,282011,4509,America/New_York,2
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2106068,2830,America/New_York,1
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,1005654,905,America/New_York,1
Riverside,Riverside,CA,California,6065,Riverside,33.9381,-117.3948,2107852,1574,America/Los_Angeles,1
St Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6358,-90.2451,2024074,1879,America/Chicago,1
St Paul,St. Paul,MN,Minnesota,27123,Ramsey,44.9477,-93.104,308096,2288,America/Chicago,2
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,972943,417,America/Chicago,2
Toledo,Toledo,OH,Ohio,39095,Lucas,41.6639,-83.5822,482111,1308,America/New_York,2
Tucson,Tucson,AZ,Arizona,4019,Pima,32.1545,-110.8782,888486,889,America/Phoenix,2
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1053,-106.6464,761195,1155,America/Denver,2
Miami,Miami,FL,Florida,12086,Miami-Dade,25.7839,-80.2102,6445545,5019,America/New_York,1
Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1181496,470,America/New_York,1
Fresno,Fresno,CA,California,6019,Fresno,36.7831,-119.7941,703498,1789,America/Los_Angeles,2
Corpus Christi,Corpus Christi,TX,Texas,48355,Nueces,27.726,-97.3755,342464,789,America/Chicago,2
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5379184,4457,America/New_York,1
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2977172,3071,America/Chicago,1
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.5061,1662691,1507,America/New_York,1
Lexington,Lexington,KY,Kentucky,21067,Fayette,38.0423,-84.4587,323152,439,America/New_York,2
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4767,-81.6804,1710093,1893,America/New_York,1
San Jose,San Jose,CA,California,6085,Santa Clara,37.3019,-121.8486,1798103,2218,America/Los_Angeles,1
Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5277,-86.7987,739573,553,America/Chicago,2
Mesa,Mesa,AZ,Arizona,4013,Maricopa,33.4017,-111.718,518012,1448,America/Phoenix,2
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant,32.7811,-97.3473,909585,1016,America/Chicago,2
El Paso,El Paso,TX,Texas,48141,El Paso,31.8479,-106.4309,843386,1022,America/Denver,2
Jersey City,Jersey City,NJ,New Jersey,34017,Hudson,40.7161,-74.0682,262075,6863,America/New_York,2
Oakland,Oakland,CA,California,6001,Alameda,37.7903,-122.2165,433031,2991,America/Los_Angeles,2
San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4658,-98.5253,2049293,1231,America/Chicago,1
Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654,2104198,1773,America/Los_Angeles,1
Norfolk,Norfolk,VA,Virginia,51710,Norfolk,36.8945,-76.259,242742,1759,America/New_York,2
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4396,-79.9762,1703266,2093,America/New_York,1
Santa Ana,Santa Ana,CA,California,6059,Orange,33.7366,-117.8819,332318,4689,America/Los_Angeles,2
Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.985,1562009,1582,America/New_York,1
New Orleans,New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,1020886,889,America/Chicago,1
Omaha,Omaha,NB,Nebraska,31055,Douglas,41.2627,-96.0522,847819,1309,America/Chicago,2
Wichita,Wichita,KS,Kansas,20173,Sedgwick,37.6896,-97.3442,482249,931,America/Chicago,2
Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso,38.8674,-104.7606,642413,946,America/Denver,2
Dayton,Dayton,OH,Ohio,39113,Montgomery,39.7797,-84.1998,718353,978,America/New_York,2
Tampa,Tampa,FL,Florida,12057,Hillsborough,27.9942,-82.4451,2908063,1353,America/New_York,1
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7627,-84.4224,5449398,1441,America/New_York,1
Buffalo,Buffalo,NY,New York,36029,Erie,42.9016,-78.8487,914341,2441,America/New_York,2
Arlington,Arlington,TX,Texas,48439,Tarrant,32.6998,-97.125,398854,1607,America/Chicago,2
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,1478868,709,America/New_York,1
